Datetime,"Velocidad del viento","Dirección del viento",Temperatura,"Punto de rocío","Humedad relativa",Precipitación
"2023-08-04 08:",2.9,251,7.28,-6.22,11,0
"2023-08-04 09:",2.9,282,9.28,-9.94,8,0
"2023-08-04 10:",2.9,138,15.78,-3.95,7,0
"2023-08-04 11:",13.68,135,15.22,2.84,10,0
"2023-08-04 12:",4.99,130,15.78,5.67,11,0
"2023-08-04 13:",18.02,323,13,-2.45,9,0
"2023-08-04 14:",9.01,322,12.89,5.25,13,0
"2023-08-04 15:",13.36,283,13.78,4.76,12,0
"2023-08-04 16:",3.22,75,14,5.08,12,0
"2023-08-04 17:",6.12,56,12.5,7.82,15,0
"2023-08-04 18:",6.12,85,11.22,5.97,15,0
"2023-08-04 19:",5.47,105,11.11,5.81,15,0
"2023-08-04 20:",6.92,120,9.61,6.36,17,0
"2023-08-04 21:",6.12,99,9.5,4.88,16,0
"2023-08-04 22:",1.77,132,9.22,4.47,16,0
"2023-08-04 23:",3.54,52,10,6.93,17,0
"2023-08-05 00:",2.9,180,10,8.19,18,0
"2023-08-05 01:",6.12,107,9.78,5.28,16,0
"2023-08-05 02:",6.12,123,9.72,5.2,16,0
"2023-08-05 03:",20.12,130,9.22,9.37,20,0
"2023-08-05 04:",2.9,102,8.28,9.04,21,0
"2023-08-05 05:",4.35,80,8.61,6.14,18,0
"2023-08-05 06:",4.02,104,7,1.22,16,0
"2023-08-05 07:",2.09,88,6.78,2.19,17,0
"2023-08-05 08:",2.57,93,6.78,-0.47,15,0
"2023-08-05 09:",4.99,224,9.39,-5.24,10,0
"2023-08-05 10:",13.04,128,11.61,-0.15,11,0
"2023-08-07 11:",,-,,-,-,0
"2023-08-07 12:",,-,,-,-,0
"2023-08-07 13:",,-,,-,-,0
"2023-08-07 14:",,-,,-,-,0
"2023-08-07 15:",,-,,-,-,0
"2023-08-07 16:",,-,,-,-,0
"2023-08-07 17:",,-,,-,-,0
"2023-08-16 18:",2.4854918414918,200.50697746698,5.508005050505,-10.855169386169,18.184127816628,-
"2023-08-16 18:",2.4854918414918,200.50697746698,5.508005050505,-10.855169386169,18.184127816628,-
"2023-08-16 19:",1.8203535353535,173.38876262626,5.3306439393939,-10.649457070707,20.099494949495,-
"2023-08-16 19:",1.8203535353535,173.38876262626,5.3306439393939,-10.649457070707,20.099494949495,-
"2023-08-16 20:",2.2177606837607,164.39828671329,4.7679677544678,-11.168438616939,20.317968142968,-
"2023-08-16 20:",2.2177606837607,164.39828671329,4.7679677544678,-11.168438616939,20.317968142968,-
"2023-08-16 21:",2.6155916860917,176.77473776224,4.055352952603,-10.817056915307,25.637950660451,-
"2023-08-16 21:",2.6155916860917,176.77473776224,4.055352952603,-10.817056915307,25.637950660451,-
"2023-08-16 22:",2.3711052836053,171.67940947941,3.5929234654235,-9.749155011655,33.289607614608,-
"2023-08-16 22:",2.3711052836053,171.67940947941,3.5929234654235,-9.749155011655,33.289607614608,-
"2023-08-16 23:",1.776493006993,178.01471250971,3.9325559440559,-9.4758747733748,32.957846412846,-
"2023-08-17 00:",2.2552228049728,150.9165967366,3.4534941724942,-10.854992229992,28.457567987568,-
"2023-08-17 01:",1.7287059052059,166.44930846931,3.3199681429681,-11.073696581197,28.031676379176,-
"2023-08-17 02:",1.3377756410256,156.37014957265,2.8998863636364,-11.321758158508,28.891777389277,-
"2023-08-17 03:",2.2101843434343,158.80287878788,2.410345959596,-12.281351010101,26.541515151515,-
"2023-08-17 04:",2.0237228049728,181.46668414918,2.1733935508936,-12.105944832945,28.603308080808,-
"2023-08-17 05:",2.8036800699301,162.8114044289,1.4302871017871,-10.865595182595,38.520588578089,-
"2023-08-17 06:",2.3569620564621,128.87431947682,2.0404662004662,-11.108078995079,34.257274022274,-
"2023-08-17 07:",3.7806763791764,163.84430846931,1.687284965035,-12.43191045066,29.404022921523,-
"2023-08-17 08:",3.651735042735,152.27685120435,1.5288871406371,-13.373726301476,25.486932789433,-
"2023-08-17 09:",3.4301522921523,162.13543900544,1.6411781274281,-11.720716977467,33.190524475524,-
"2023-08-17 10:",3.3886707459207,143.10487373737,1.6322585470085,-10.560443473193,39.03648989899,-
"2023-08-17 11:",3.3111116938617,133.1012956488,0.79365287490287,-9.2131835664336,49.965817793318,-
"2023-08-17 12:",2.7454331779332,133.47355283605,1.7469823232323,-9.2812130924631,44.859022921523,-
"2023-08-17 13:",3.2287645687646,142.44674630925,2.1868162393162,-9.7571775446775,40.280031080031,-
"2023-08-17 14:",3.8263003108003,164.21561383061,0.055169600514428,-7.1364953379953,64.05087024087,-
"2023-08-17 15:",2.2746416083916,131.39806332556,0.57970454545455,-5.6291796814297,68.955578865579,-
"2023-08-17 16:",2.2624766899767,138.01317016317,0.62305611055611,-5.4296017871018,69.944395881896,-
"2023-08-17 17:",3.0678902486402,167.63927156177,0.3004188034188,-6.8285850815851,64.354980574981,-
"2023-08-17 18:",1.8074518259518,134.99168609169,-0.069995726495727,-6.7013313908314,66.843321678322,-
"2023-08-17 19:",3.3757222222222,163.76320707071,-0.38595202020202,-8.987547979798,56.99202020202,-
"2023-08-17 20:",3.8077601010101,160.72265151515,-0.48837121212121,-11.065386363636,47.114924242424,-
"2023-08-17 21:",2.4472165889666,187.83534965035,-0.4606114996115,-12.263393162393,40.986091686092,-
"2023-08-17 22:",1.6590262237762,167.00901903652,-0.081613247863248,-12.917596930847,35.820081585082,-
"2023-08-17 23:",1.9947764180264,176.86286519037,-0.27136305361305,-13.523634226884,33.738644133644,-
"2023-08-18 00:",1.6449947552448,202.70094211344,-0.81663947163947,-12.623605283605,40.965170940171,-
"2023-08-18 01:",3.494473970474,170.64427156177,-1.8754663947164,-10.059322649573,59.080718725719,-
"2023-08-18 02:",1.7256897824398,167.04992035742,-1.0788098290598,-12.999986208236,40.394118104118,-
"2023-08-18 03:",2.2513362470862,144.59885586636,-1.7010064102564,-11.818533993784,49.412362082362,-
"2023-08-18 04:",1.877777972028,178.02259324009,-1.7756041181041,-11.009960761461,53.828216783217,-
"2023-08-18 05:",2.7937130924631,187.44936480186,-2.0263566433566,-11.708060606061,51.59148018648,-
"2023-08-18 06:",2.3950341880342,186.22763791764,-2.5374687257187,-14.025498251748,42.559852369852,-
"2023-08-18 07:",1.3324786324786,178.6610042735,-2.4845928515929,-13.795293317793,43.446497668998,-
"2023-08-18 08:",1.7865073815074,201.61771950272,-2.723885003885,-12.252455710956,52.357146464646,-
"2023-08-18 09:",1.0832193084693,167.79746891997,-2.7469263791764,-11.19182964258,57.775483682984,-
"2023-08-18 10:",1.503554972805,145.82264180264,-1.4360980963481,-11.944455128205,47.458214840715,-
"2023-08-18 11:",2.6628898601399,158.75822649573,-0.71713597513598,-12.583958818959,40.665885780886,-
"2023-08-18 12:",2.6037286324786,186.93749028749,-0.1268006993007,-12.034834887335,40.459829059829,-
"2023-08-18 13:",4.7288806008806,241.30423659674,-0.66033715358715,-11.997816563067,43.312602952603,-
"2023-08-18 14:",4.014897047397,106.2235042735,-0.6312635975136,-11.350486596737,46.403885003885,-
"2023-08-18 15:",1.5919823232323,205.23320707071,-0.11945707070707,-11.187007575758,44.662247474747,-
"2023-08-18 16:",2.2031501554002,174.22646853147,-0.021785587294062,-11.416061577312,43.026804584305,-
"2023-08-18 17:",3.9208012173012,98.047044807045,-0.8388570966071,-11.181812160062,48.285224682725,-
"2023-08-18 18:",2.8089772727273,115.61441724942,-0.93421076146076,-10.501340520591,52.164351204351,-
"2023-08-18 19:",1.075371017871,154.56574397824,-0.28781274281274,-9.8912136752137,51.982995337995,-
"2023-08-18 20:",1.3980903866249,177.23217171717,-0.31372779519331,-9.8303560606061,52.364570707071,-
"2023-08-18 21:",1.0072057109557,153.14468725719,0.01175,-10.049206487956,49.695217560218,-
"2023-08-18 22:",1.0848995726496,182.81265540016,0.45854623154623,-10.586281662782,44.775860528361,-
"2023-08-18 23:",1.8180926573427,157.1497979798,-0.074309139136725,-10.385156954157,48.433376068376,-
"2023-08-19 00:",2.1713494560995,199.9310955711,-0.59481118881119,-10.958657731158,48.180767288267,-
"2023-08-19 01:",1.2353956876457,154.80454156954,-1.8342457264957,-9.0247208624709,64.047624320124,-
"2023-08-19 02:",3.4497037684538,130.18672882673,-1.3583284770785,-11.801525058275,47.784017094017,-
"2023-08-19 03:",2.3429832944833,180.9073018648,-1.2505392385392,-11.526099456099,48.622198912199,-
"2023-08-19 04:",2.8643203185703,174.74545066045,-3.2424687257187,-9.0136878399378,71.143904428904,-
"2023-08-19 05:",2.7658131313131,152.33037878788,-4.4820075757576,-8.3254267676768,80.782904040404,-
"2023-08-19 06:",4.2172626262626,161.85500582751,-5.4547241647242,-7.2404817404817,91.071212121212,-
"2023-08-19 07:",2.2445714840715,182.84532051282,-4.6301802641803,-6.1177358197358,92.562222222222,-
"2023-08-19 08:",5.525857031857,157.0195979021,-2.3981388888889,-3.4442752525253,94.769318181818,-
"2023-08-19 09:",5.0365742035742,171.8838014763,-2.5435188422688,-3.5588218725719,94.923484848485,-
"2023-08-19 10:",5.4169502719503,181.49047591298,-1.6964343434343,-2.5203737373737,95.880303030303,-
"2023-08-19 11:",7.343405011655,93.624461926962,-1.6199368686869,-2.4199368686869,96,-
"2023-08-19 12:",6.6568832556333,107.15635198135,-1.4880378787879,-2.2815984848485,96.032196969697,-
"2023-08-19 13:",4.8623222055722,182.19017565768,-1.2607478632479,-1.861656954157,96.995454545455,-
"2023-08-19 14:",4.6790227272727,221.89946969697,-0.9082196969697,-1.5082196969697,97,-
"2023-08-19 15:",5.5859368686869,161.05222222222,-1.1965378787879,-1.7965378787879,97,-
"2023-08-19 16:",7.569696969697,68.84095959596,-0.98381818181818,-1.5838181818182,97,-
"2023-08-19 17:",7.6574137529138,79.623754856255,-0.76822895622896,-1.368228956229,97,-
"2023-08-19 18:",5.080979020979,77.747297008547,6.4990922688423,3.7724256021756,86.366666666667,-
"2023-08-19 19:",6.0119142089794,83.029112276612,6.3052581585082,3.2654197746698,84.800808080808,-
"2023-08-19 20:",3.5616233404277,101.46988927739,6.4586449106449,3.1579658119658,83.496604506604,-
"2023-08-19 21:",2.9981545498527,97.457540792541,6.7765178710179,3.2297533022533,82.266177156177,-
"2023-08-19 22:",3.9681164074021,100.55486790987,6.8633702408702,3.3711985236985,82.539141414141,-
"2023-08-19 23:",3.8679279054279,73.297585470085,6.7722424242424,3.0236161616162,81.256868686869,-
"2023-08-20 00:",3.2958551098025,106.16818376068,7.2456157731158,3.1202404817405,79.373123543124,-
"2023-08-20 01:",2.8586508774245,100.95492618493,7.5902803030303,3.3404388111888,78.750792540793,-
"2023-08-20 02:",1.3928262415551,133.60313519814,7.6140666278166,3.484405011655,79.351691919192,-
"2023-08-20 03:",1.5671727048846,137.29050699301,6.8304494949495,2.6836989121989,79.266247086247,-
"2023-08-20 04:",2.9081407293272,86.530322455322,7.6019209039548,2.8086565656566,76.667171717172,-
"2023-08-20 05:",2.4890845779735,108.355995856,7.3227709296353,2.3959318181818,75.976035353535,-
"2023-08-20 06:",1.8770716783217,121.73179001554,8.377861952862,1.7124974747475,70.862108585859,-
"2023-08-20 07:",1.9772700691122,157.08111693862,8.6908645276292,1.8114481351981,72.121066433566,-
"2023-08-20 08:",2.0255768243056,154.17370823621,8.8064468211527,1.7311868686869,71.228535353535,-
"2023-08-20 09:",2.6033730467064,116.06099067599,7.7341991341991,1.5102525252525,71.458333333333,-
"2023-08-20 10:",2.395954045954,89.997457264957,7.5479874362925,1.6364300699301,71.071212121212,-
"2023-08-20 11:",1.6681713934214,92.288104765605,8.0664737762238,2.2493876586377,70.914569412069,-
"2023-08-20 12:",2.5128824570491,72.67526029526,7.5065303030303,2.4430858585859,74.682777777778,-
"2023-08-20 13:",2.9569266381766,103.38114996115,8.2289155011655,2.9553750971251,73.632297979798,-
"2023-08-20 14:",1.0352027972028,88.073844211344,11.14847027972,6.5259566822067,76.887432012432,-
"2023-08-20 15:",0.19784498834499,56.889891219891,16.59342948718,12.393429487179,79,-
"2023-08-20 16:",0.11071731299004,59.70074009324,16.912954545455,12.48301010101,77.850277777778,-
"2023-08-20 17:",4.246396780303,98.861509324009,10.776050893551,5.5359296814297,73.799393939394,-
"2023-08-20 18:",4.1504595404595,91.535742035742,8.6789277389277,2.8038597513598,70.62466006216,-
"2023-08-20 19:",3.1806865530303,82.068651903652,8.4582398989899,2.5589166666667,70.503383838384,-
"2023-08-20 20:",2.471601483312,93.997310929811,8.5171316738817,2.1503790931291,68.166237096237,-
"2023-08-20 21:",1.4723281435546,118.52514568765,8.6661790986791,1.5031487956488,64.184848484848,-
"2023-08-20 22:",1.3399397824398,86.280248640249,8.3955716783217,1.50066996892,65.525491452991,-
"2023-08-20 23:",2.1720050151868,78.328826081326,8.6001635586636,1.5572657342657,64.785510878011,-
"2023-08-21 00:",2.0121231546232,95.462546620047,8.3217443667444,1.0888104118104,63.83533022533,-
"2023-08-21 01:",3.6865246212121,96.065473970474,8.4613918026418,1.2122527195027,63.754304584305,-
"2023-08-21 02:",2.8381726168568,121.00996891997,8.4680831390831,0.87995299145299,62.059349261849,-
"2023-08-21 03:",1.5289765319426,108.14774669775,7.6540429292929,0.7807398989899,65.633484848485,-
"2023-08-21 04:",1.6506932789433,96.908585858586,7.9395567210567,1.1953236208236,66.278834498835,-
"2023-08-21 05:",1.7817127039627,107.30011072261,7.8111951498794,0.79753826728827,66.884514374514,-
"2023-08-21 06:",1.9198856228517,99.403869463869,7.8568361581921,1.0909242424242,66.825176767677,-
"2023-08-21 07:",1.6509747474747,96.107307692308,7.4803764568765,0.92320046620047,67.21412004662,-
"2023-08-21 08:",2.1464712509713,90.686637529138,7.2820326340326,0.6852533022533,67.016103341103,-
"2023-08-21 09:",1.3391625874126,104.71305749806,7.7448863636364,1.2807562160062,67.679349261849,-
