Datetime,"Velocidad del viento","Dirección del viento",Temperatura,"Punto de rocío","Humedad relativa",Precipitación
"2023-08-03 04:",4.99,32,16.22,20.96,21,0
"2023-08-03 05:",6.92,46,15.11,15.73,18,0
"2023-08-03 06:",7.89,26,16.11,15.89,17,0
"2023-08-03 07:",3.22,45,15.78,19.16,20,0
"2023-08-03 08:",5.47,46,16.39,17.61,18,0
"2023-08-03 09:",6.12,45,16.61,16.62,17,0
"2023-08-03 10:",4.67,61,18.72,16.8,15,0
"2023-08-03 11:",0,11,23.28,21.71,14,0
"2023-08-03 12:",5.47,240,24.61,21.84,13,0
"2023-08-03 13:",2.9,247,24.22,23.05,14,0
"2023-08-03 14:",2.9,214,25.28,24.55,14,0
"2023-08-03 15:",0,13,19.89,19.98,16,0
"2023-08-03 16:",2.09,12,18.28,26.22,23,0
"2023-08-03 17:",4.35,31,18.78,18.37,16,0
"2023-08-03 18:",2.9,60,16.78,21.79,21,0
"2023-08-03 19:",3.22,47,15.5,19.88,21,0
"2023-08-03 20:",3.54,38,16.11,20.8,21,0
"2023-08-03 21:",9.66,30,16.5,21.38,21,0
"2023-08-03 22:",4.02,62,16,22.78,23,0
"2023-08-03 23:",6.12,40,15.5,18.74,20,0
"2023-08-04 00:",6.44,37,15.61,17.72,19,0
"2023-08-04 01:",2.9,99,15,18,20,0
"2023-08-04 02:",3.54,56,13.28,15.43,20,0
"2023-08-04 03:",6.44,79,14.5,14.83,18,0
"2023-08-04 04:",2.57,66,14.61,15,18,0
"2023-08-04 05:",4.67,52,15.5,12.16,15,0
"2023-08-04 06:",7.56,50,15.72,9.27,13,0
"2023-08-04 07:",7.56,57,14.72,9.49,14,0
"2023-08-04 08:",6.44,73,16.22,9.98,13,0
"2023-08-04 09:",5.47,48,15.61,10.77,14,0
"2023-08-04 10:",0,70,16.61,16.62,17,0
"2023-08-04 11:",0,89,21.72,11.78,10,0
"2023-08-04 12:",0,102,22.5,17.01,12,0
"2023-08-04 13:",2.57,83,23.5,25.2,16,0
"2023-08-04 14:",3.22,328,24.78,15.97,10,0
"2023-08-04 15:",1.77,263,20.39,26.01,20,0
"2023-08-04 16:",0,315,19,22.73,19,0
"2023-08-04 17:",3.22,43,17.28,18.92,18,0
"2023-08-04 18:",4.35,34,16.5,16.46,17,0
"2023-08-04 19:",4.99,41,16.11,15.89,17,0
"2023-08-04 20:",9.33,24,15.22,15.9,18,0
"2023-08-04 21:",8.21,38,14.61,17.42,20,0
"2023-08-04 22:",6.12,43,15.39,17.39,19,0
"2023-08-04 23:",2.9,51,15,18,20,0
"2023-08-05 00:",5.47,42,14.72,16.4,19,0
"2023-08-05 01:",4.35,72,15.28,14.67,17,0
"2023-08-05 02:",9.66,21,15.11,13.05,16,0
"2023-08-05 03:",6.12,44,14.72,13.86,17,0
"2023-08-05 04:",10.78,31,14.78,13.94,17,0
"2023-08-05 05:",4.99,52,15.22,14.59,17,0
"2023-08-05 06:",11.59,31,14.89,12.73,16,0
"2023-08-05 07:",9.33,11,15.5,10.61,14,0
"2023-08-05 08:",4.35,37,14.78,12.57,16,0
"2023-08-05 09:",4.99,31,15.5,10.61,14,0
"2023-08-05 10:",5.79,65,17.28,11.48,13,0
"2023-08-05 11:",4.02,106,21.89,12.01,10,0
"2023-08-05 13:",0,53,21,14.91,12,0
"2023-08-05 13:",3.22,227,20.28,17.43,14,0
"2023-08-05 14:",6.92,240,20.39,20.71,16,0
"2023-08-05 15:",1.77,176,17.11,23.4,22,0
"2023-08-05 16:",2.9,47,15.11,22.44,24,0
"2023-08-05 17:",4.67,74,13.78,23.19,27,0
"2023-08-05 18:",5.79,50,13.11,22.16,27,0
"2023-08-05 19:",10.78,54,13.28,19.65,24,0
"2023-08-05 20:",3.54,80,10.72,22.46,32,0
"2023-08-05 21:",5.79,46,12.89,20.93,26,0
"2023-08-05 22:",2.09,51,13,20.18,25,0
"2023-08-05 23:",5.79,55,11.78,20.1,27,0
"2023-08-06 00:",0,124,13.28,20.6,25,0
"2023-08-06 01:",0,141,12,22.93,30,0
"2023-08-06 02:",2.57,13,5,39.13,93,0
"2023-08-06 03:",0,161,4.78,39.82,97,0
"2023-08-06 04:",1.77,335,4.39,39.38,98,0
"2023-08-06 05:",2.9,58,7.5,28.91,52,0
"2023-08-06 06:",4.35,98,6.72,32.32,63,0
"2023-08-06 07:",5.47,47,8.28,24.45,41,0
"2023-08-06 08:",4.35,68,7.78,24.77,43,0
"2023-08-06 09:",5.79,85,9.28,22.96,36,0
"2023-08-06 10:",2.09,150,10.72,33.79,51,0
"2023-08-06 11:",0,296,14.28,32.92,39,0
"2023-08-06 13:",0,198,15,34.71,40,0
"2023-08-06 13:",0,232,14.22,27.19,31,0
"2023-08-06 14:",0,50,14.22,32.18,38,0
"2023-08-06 15:",0,55,11.72,33.41,47,0
"2023-08-06 16:",0,204,10.61,35.04,54,0
"2023-08-06 17:",4.35,52,8.72,33.22,57,0
"2023-08-06 18:",4.35,40,8.89,28.74,47,0
"2023-08-06 19:",4.67,54,9.61,27.19,42,0
"2023-08-06 20:",3.54,81,9.39,26.83,42,0
"2023-08-06 21:",4.99,69,10,22.75,34,0
"2023-08-06 22:",6.44,81,9,21.85,35,0
"2023-08-06 23:",4.67,74,9.89,21.14,32,0
"2023-08-07 00:",6.44,39,9.72,17.76,28,0
"2023-08-07 01:",5.47,72,11.22,14.52,22,0
"2023-08-07 02:",4.67,86,11,14.19,22,0
"2023-08-07 03:",5.79,63,10.89,12.96,21,0
"2023-08-07 04:",7.24,36,11.78,10.82,18,0
"2023-08-07 05:",8.69,47,12.28,8.93,16,0
"2023-08-07 06:",7.89,35,11.61,10.57,18,0
"2023-08-07 07:",3.54,41,12.28,8.93,16,0
"2023-08-07 08:",4.35,65,13.61,6.27,13,0
"2023-08-07 09:",2.9,73,13.72,11.03,16,0
"2023-08-07 10:",2.57,117,15.5,13.62,16,0
"2023-08-07 11:",3.54,243,18.72,13.53,13,0
"2023-08-07 13:",0,6,18.11,14.34,14,0
"2023-08-07 13:",0,124,17.72,13.79,14,0
"2023-08-07 14:",1.77,138,16.61,19.2,19,0
"2023-08-07 15:",0,124,15.22,18.33,20,0
"2023-08-07 16:",2.09,211,12.72,24.06,30,0
"2023-08-07 17:",7.24,109,14.11,17.8,21,0
